ASN,country,center_lat,center_lng
1,US,39.50024,-98.350891
2,US,39.50024,-98.350891
3,US,39.50024,-98.350891
4,US,39.50024,-98.350891
5,US,39.50024,-98.350891
6,US,39.50024,-98.350891
8,US,39.50024,-98.350891
9,US,39.50024,-98.350891
10,US,39.50024,-98.350891
11,US,39.50024,-98.350891
12,US,39.50024,-98.350891
13,US,39.50024,-98.350891
14,US,39.50024,-98.350891
15,US,39.50024,-98.350891
16,US,39.50024,-98.350891
17,US,39.50024,-98.350891
18,US,39.50024,-98.350891
19,US,39.50024,-98.350891
21,US,39.50024,-98.350891
22,US,39.50024,-98.350891
23,US,39.50024,-98.350891
24,US,39.50024,-98.350891
25,US,39.50024,-98.350891
26,US,39.50024,-98.350891
27,US,39.50024,-98.350891
28,DE,51.165691,10.451526
29,US,39.50024,-98.350891
30,US,39.50024,-98.350891
31,US,39.50024,-98.350891
32,US,39.50024,-98.350891
33,US,39.50024,-98.350891
34,US,39.50024,-98.350891
35,US,39.50024,-98.350891
36,US,39.50024,-98.350891
37,US,39.50024,-98.350891
38,US,39.50024,-98.350891
39,US,39.50024,-98.350891
40,US,39.50024,-98.350891
41,US,39.50024,-98.350891
42,US,39.50024,-98.350891
43,US,39.50024,-98.350891
44,US,39.50024,-98.350891
45,US,39.50024,-98.350891
46,US,39.50024,-98.350891
47,US,39.50024,-98.350891
48,US,39.50024,-98.350891
49,US,39.50024,-98.350891
50,US,39.50024,-98.350891
51,US,39.50024,-98.350891
52,US,39.50024,-98.350891
53,US,39.50024,-98.350891
54,US,39.50024,-98.350891
55,US,39.50024,-98.350891
56,US,39.50024,-98.350891
57,US,39.50024,-98.350891
58,CA,56.130366,-106.346771
59,US,39.50024,-98.350891
60,US,39.50024,-98.350891
61,US,39.50024,-98.350891
62,US,39.50024,-98.350891
63,US,39.50024,-98.350891
64,US,39.50024,-98.350891
65,US,39.50024,-98.350891
66,US,39.50024,-98.350891
67,US,39.50024,-98.350891
68,US,39.50024,-98.350891
69,US,39.50024,-98.350891
70,US,39.50024,-98.350891
71,US,39.50024,-98.350891
72,US,39.50024,-98.350891
73,US,39.50024,-98.350891
74,CA,56.130366,-106.346771
75,US,39.50024,-98.350891
76,US,39.50024,-98.350891
77,US,39.50024,-98.350891
78,US,39.50024,-98.350891
79,US,39.50024,-98.350891
80,US,39.50024,-98.350891
81,US,39.50024,-98.350891
82,US,39.50024,-98.350891
83,US,39.50024,-98.350891
84,US,39.50024,-98.350891
85,US,39.50024,-98.350891
86,US,39.50024,-98.350891
87,US,39.50024,-98.350891
88,US,39.50024,-98.350891
89,US,39.50024,-98.350891
90,US,39.50024,-98.350891
91,US,39.50024,-98.350891
92,US,39.50024,-98.350891
93,US,39.50024,-98.350891
94,US,39.50024,-98.350891
95,US,39.50024,-98.350891
96,US,39.50024,-98.350891
97,US,39.50024,-98.350891
98,US,39.50024,-98.350891
99,US,39.50024,-98.350891
100,US,39.50024,-98.350891
101,US,39.50024,-98.350891
102,US,39.50024,-98.350891
103,US,39.50024,-98.350891
104,US,39.50024,-98.350891
105,US,39.50024,-98.350891
106,US,39.50024,-98.350891
107,US,39.50024,-98.350891
108,US,39.50024,-98.350891
109,US,39.50024,-98.350891
110,US,39.50024,-98.350891
111,US,39.50024,-98.350891
113,US,39.50024,-98.350891
114,US,39.50024,-98.350891
115,US,39.50024,-98.350891
116,US,39.50024,-98.350891
117,US,39.50024,-98.350891
118,US,39.50024,-98.350891
119,US,39.50024,-98.350891
120,US,39.50024,-98.350891
121,US,39.50024,-98.350891
122,US,39.50024,-98.350891
123,US,39.50024,-98.350891
124,US,39.50024,-98.350891
125,US,39.50024,-98.350891
126,US,39.50024,-98.350891
127,US,39.50024,-98.350891
128,US,39.50024,-98.350891
129,US,39.50024,-98.350891
130,US,39.50024,-98.350891
131,US,39.50024,-98.350891
132,US,39.50024,-98.350891
133,US,39.50024,-98.350891
134,US,39.50024,-98.350891
135,US,39.50024,-98.350891
136,US,39.50024,-98.350891
137,IT,41.87194,12.56738
138,US,39.50024,-98.350891
139,US,39.50024,-98.350891
140,US,39.50024,-98.350891
141,US,39.50024,-98.350891
142,US,39.50024,-98.350891
143,US,39.50024,-98.350891
144,US,39.50024,-98.350891
145,US,39.50024,-98.350891
146,US,39.50024,-98.350891
147,US,39.50024,-98.350891
148,US,39.50024,-98.350891
149,US,39.50024,-98.350891
150,US,39.50024,-98.350891
151,US,39.50024,-98.350891
152,US,39.50024,-98.350891
153,US,39.50024,-98.350891
154,US,39.50024,-98.350891
155,US,39.50024,-98.350891
156,US,39.50024,-98.350891
157,US,39.50024,-98.350891
158,US,39.50024,-98.350891
159,US,39.50024,-98.350891
160,US,39.50024,-98.350891
161,US,39.50024,-98.350891
